name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,gender
Justin Gonzales,J-Train,6,0,0,175.26,65.77,182.88,Orthodox,00:00.0,6.67,80,0.87,43,14.0,73,100,6.67,Male
Jessica Andrade,Bate Estaca,25,12,0,154.94,52.16,157.48,Orthodox,00:00.0,6.67,50,5.36,54,2.45,54,72,6.67,Female
Sarah Kaufman,,18,4,0,165.1,61.23,167.64,Orthodox,00:00.0,6.65,46,4.0,62,0.38,57,81,6.65,Female
Luke Sanders,Cool Hand,13,5,0,167.64,61.23,170.18,Southpaw,00:00.0,6.61,52,4.37,50,0.71,30,72,6.61,Male
Felipe dos Santos,Lipe Detona,7,1,0,170.18,56.7,177.8,Orthodox,00:00.0,6.6,32,7.47,38,0.0,0,0,6.6,Male
Kasey Tanner,,6,1,0,170.18,61.23,175.26,Orthodox,00:00.0,6.6,50,6.67,63,2.0,33,0,6.6,Male
Diana Belbita,The Warrior Princess,15,8,0,170.18,52.16,172.72,Orthodox,00:00.0,6.59,42,6.43,51,0.97,62,69,6.59,Female
Shannon Ross,The Turkish Delight,13,8,0,167.64,56.7,167.64,Switch,00:00.0,6.58,38,8.93,52,0.0,0,100,6.58,Male
SeongChan Hong,Honey Badger,9,2,0,170.18,70.31,175.26,Orthodox,00:00.0,6.57,55,8.76,47,0.0,0,0,6.57,Male
Frank Camacho,The Crank,22,10,0,177.8,70.31,185.42,Orthodox,00:00.0,6.56,46,7.44,51,1.11,31,73,6.56,Male
Parker Porter,,14,9,0,182.88,120.2,190.5,Orthodox,00:00.0,6.55,50,6.32,51,1.35,26,66,6.55,Male
Nick Denis,The Ninja of Love,11,3,0,170.18,61.23,,Orthodox,00:00.0,6.54,53,5.42,36,2.8,100,80,6.54,Male
Randy Costa,The Zohan,6,4,0,175.26,61.23,185.42,Switch,00:00.0,6.53,46,7.58,58,0.0,0,50,6.53,Male
Miguel Linares,,2,4,0,,,,,,6.51,50,8.84,36,0.0,0,0,6.51,Male
Paulo Costa,The Eraser,14,2,0,185.42,83.91,182.88,Orthodox,00:00.0,6.5,60,6.38,47,0.53,75,79,6.5,Male
Zach Reese,Savage,6,0,0,193.04,83.91,195.58,Switch,00:00.0,6.49,61,8.92,31,0.0,0,0,6.49,Male
Anshul Jubli,King of Lions,7,1,0,182.88,70.31,175.26,Switch,00:00.0,6.48,46,5.61,51,0.82,18,63,6.48,Male
Rafael Estevam,Macapa,11,0,0,172.72,56.7,175.26,Orthodox,00:00.0,6.47,80,0.4,50,4.04,50,0,6.47,Male
Braxton Smith,The Beautiful Monster,5,2,0,180.34,116.57,182.88,Orthodox,00:00.0,6.46,48,11.54,32,0.0,0,100,6.46,Male
Trey Waters,The Truth,8,1,0,195.58,77.11,195.58,Orthodox,00:00.0,6.45,45,3.95,61,0.78,50,77,6.45,Male
